Cidade,2014,2015,2016,2017,2018,2019,2020,2021
Santa Cecília (SC),16413,16510,16606,16701,16741,16830,16918,17004
Santa Helena (SC),2331,2309,2288,2266,2247,2223,2200,2178
Santa Rosa de Lima (SC),2122,2128,2133,2139,2137,2142,2147,2151
Santa Rosa do Sul (SC),8285,8309,8333,8356,8338,8358,8378,8397
Santa Terezinha (SC),8873,8864,8855,8846,8801,8787,8773,8760
Santa Terezinha do Progresso (SC),2720,2666,2611,2557,2484,2428,2372,2317
Santiago do Sul (SC),1389,1365,1341,1317,1286,1260,1235,1211
Santo Amaro da Imperatriz (SC),21572,21920,22266,22609,22905,23245,23579,23907
São Bernardino (SC),2593,2545,2496,2449,2386,2336,2287,2239
São Bento do Sul (SC),79971,80936,81893,82842,83576,84507,85421,86317
São Bonifácio (SC),2966,2944,2922,2899,2862,2838,2814,2791
São Carlos (SC),10849,10944,11038,11132,11191,11281,11369,11456
São Cristóvão do Sul (SC),5308,5360,5412,5464,5499,5549,5598,5646
São Domingos (SC),9523,9516,9509,9502,9457,9445,9434,9422
São Francisco do Sul (SC),47547,48606,49658,50701,51677,52721,53746,54751
São João do Oeste (SC),6235,6260,6285,6309,6359,6381,6402,6423
São João Batista (SC),31534,32720,33897,35065,36244,37424,38583,39719
São João do Itaperiú (SC),3606,3634,3662,3690,3707,3733,3759,3784
São João do Sul (SC),7205,7226,7247,7268,7280,7297,7315,7332
São Joaquim (SC),26045,26247,26447,26646,26763,26952,27139,27322
São José (SC),228561,232309,236029,239718,242927,246586,250181,253705
São José do Cedro (SC),13902,13901,13899,13897,13838,13829,13820,13811
São José do Cerrito (SC),8941,8823,8705,8588,8421,8295,8173,8054
São Lourenço do Oeste (SC),23017,23245,23473,23698,23857,24076,24291,24501
São Ludgero (SC),12192,12441,12688,12934,13165,13410,13650,13886
São Martinho (SC),3232,3224,3217,3210,3189,3180,3171,3162
São Miguel da Boa Vista (SC),1885,1872,1860,1848,1833,1820,1807,1794
São Miguel do Oeste (SC),38575,38984,39390,39793,40090,40482,40868,41246
São Pedro de Alcântara (SC),5256,5373,5488,5602,5709,5823,5935,6046
Saudades (SC),9454,9524,9594,9664,9679,9745,9810,9874
Schroeder (SC),18186,18827,19463,20095,20728,21365,21991,22605
Seara (SC),17395,17439,17483,17526,17506,17541,17576,17610
Serra Alta (SC),3317,3312,3307,3301,3270,3263,3256,3249
Siderópolis (SC),13593,13686,13778,13870,13920,14007,14092,14176
Sombrio (SC),28589,28966,29340,29710,30010,30374,30733,31084
Sul Brasil (SC),2661,2624,2587,2551,2500,2461,2423,2386
Taió (SC),17959,18060,18161,18261,18302,18395,18486,18576
Tangará (SC),8767,8757,8748,8738,8691,8676,8662,8648
Tigrinhos (SC),1733,1720,1707,1695,1646,1633,1619,1606
Tijucas (SC),34628,35402,36170,36931,37645,38407,39155,39889
Timbé do Sul (SC),5385,5382,5379,5377,5354,5348,5343,5338
Timbó (SC),40515,41283,42045,42801,43484,44238,44977,45703
Timbó Grande (SC),7563,7632,7699,7767,7812,7877,7941,8003
Três Barras (SC),18843,18945,19046,19146,19183,19275,19366,19455
Treviso (SC),3746,3785,3824,3863,3891,3929,3966,4002
Treze de Maio (SC),7052,7067,7082,7098,7070,7081,7093,7104
Treze Tílias (SC),7082,7237,7392,7545,7687,7840,7991,8138
Trombudo Central (SC),6979,7057,7135,7211,7284,7360,7434,7506
Tubarão (SC),102087,102883,103674,104457,104937,105686,106422,107143
Tunápolis (SC),4644,4628,4612,4597,4561,4543,4525,4507
Turvo (SC),12452,12551,12649,12746,12806,12899,12990,13080
União do Oeste (SC),2751,2700,2650,2600,2517,2464,2412,2364
Urubici (SC),11058,11102,11147,11191,11195,11235,11273,11311
Urupema (SC),2502,2497,2492,2487,2472,2465,2459,2453
Urussanga (SC),20915,21003,21090,21177,21190,21268,21344,21419
Vargeão (SC),3590,3590,3590,3590,3575,3573,3571,3569
Vargem (SC),2674,2630,2586,2543,2522,2477,2432,2387
