COD_IBGE,Município,2013,2014,2015,2016,2017,2018,2019,2020,2021
421125,Morro Grande (SC),2928,2925,2921,2918,2915,2898,2893,2888,2884
421130,Navegantes (SC),68337,70565,72772,74964,77137,79285,81475,83626,85734
421140,Nova Erechim (SC),4577,4654,4729,4804,4879,4945,5019,5092,5163
421145,Nova Itaberaba (SC),4338,4338,4339,4339,4339,4333,4331,4329,4327
421150,Nova Trento (SC),13135,13379,13621,13861,14099,14312,14549,14782,15010
421160,Nova Veneza (SC),14098,14285,14470,14654,14837,14987,15166,15342,15515
421165,Novo Horizonte (SC),2681,2643,2606,2569,2532,2481,2442,2404,2366
421170,Orleans (SC),22171,22311,22449,22587,22723,22785,22912,23038,23161
421175,Otacílio Costa (SC),17349,17593,17835,18075,18313,18510,18744,18975,19201
421180,Ouro (SC),7436,7418,7399,7381,7363,7317,7295,7272,7251
421185,Ouro Verde (SC),2281,2272,2263,2254,2245,2227,2217,2207,2197
421187,Paial (SC),1698,1668,1637,1607,1577,1537,1505,1474,1444
421189,Painel (SC),2385,2383,2381,2378,2376,2363,2359,2356,2352
421190,Palhoça (SC),150623,154244,157833,161395,164926,168259,171797,175272,178679
421200,Palma Sola (SC),7747,7699,7652,7604,7558,7475,7423,7372,7321
421205,Palmeira (SC),2488,2512,2537,2562,2586,2603,2627,2650,2673
421210,Palmitos (SC),16270,16266,16262,16257,16253,16182,16169,16157,16144
421220,Papanduva (SC),18568,18681,18793,18905,19015,19218,19320,19422,19521
421223,Paraíso (SC),3915,3838,3763,3688,3613,3515,3437,3360,3284
421225,Passo de Torres (SC),7447,7681,7912,8142,8370,8594,8823,9048,9269
421227,Passos Maia (SC),4387,4351,4314,4279,4243,4186,4147,4109,4072
421230,Paulo Lopes (SC),7045,7124,7203,7282,7360,7418,7494,7569,7642
421240,Pedras Grandes (SC),4110,4089,4068,4047,4026,4000,3976,3953,3931
421250,Penha (SC),27936,28718,29493,30262,31025,31764,32531,33284,34022
421260,Peritiba (SC),2958,2931,2906,2880,2855,2814,2787,2760,2733
421265,Pescaria Brava (SC),9687,9761,9835,9908,9980,10022,10091,10159,10225
421270,Petrolândia (SC),6140,6110,6080,6051,6021,5971,5937,5905,5873
421280,Balneário Piçarras (SC),19329,19976,20617,21253,21884,22511,23147,23772,24385
421290,Pinhalzinho (SC),17868,18284,18696,19105,19511,19906,20313,20712,21103
421300,Pinheiro Preto (SC),3310,3353,3396,3438,3480,3513,3555,3596,3635
421310,Piratuba (SC),4533,4424,4316,4209,4102,3965,3854,3745,3637
421315,Planalto Alegre (SC),2761,2782,2803,2823,2844,2850,2870,2888,2907
421320,Pomerode (SC),30009,30598,31181,31760,32334,32874,33447,34010,34561
421330,Ponte Alta (SC),4885,4855,4825,4796,4767,4714,4682,4650,4619
421335,Ponte Alta do Norte (SC),3381,3389,3397,3405,3413,3408,3414,3420,3426
421340,Ponte Serrada (SC),11358,11405,11452,11499,11545,11552,11593,11634,11674
421350,Porto Belo (SC),18066,18630,19189,19744,20294,20834,21388,21932,22466
421360,Porto União (SC),34551,34717,34882,35045,35207,35250,35398,35543,35685
421370,Pouso Redondo (SC),15882,16154,16424,16692,16957,17189,17453,17712,17965
421380,Praia Grande (SC),7377,7374,7370,7367,7364,7326,7319,7312,7305
421390,Presidente Castello Branco (SC),1691,1670,1650,1630,1610,1590,1568,1547,1526
421400,Presidente Getúlio (SC),15943,16210,16474,16736,16996,17215,17471,17726,17973
421410,Presidente Nereu (SC),2314,2312,2309,2306,2304,2290,2287,2283,2279
421415,Princesa (SC),2848,2862,2877,2891,2906,2911,2924,2937,2950
421420,Quilombo (SC),10255,10201,10149,10096,10044,9946,9887,9829,9773
421430,Rancho Queimado (SC),2827,2838,2849,2860,2871,2868,2878,2887,2897
421440,Rio das Antas (SC),6245,6245,6246,6246,6246,6208,6205,6202,6199
421450,Rio do Campo (SC),6185,6149,6113,6078,6043,5979,5940,5902,5864
421460,Rio do Oeste (SC),7319,7355,7392,7428,7463,7456,7489,7520,7552
421470,Rio dos Cedros (SC),10879,11019,11157,11295,11431,11542,11676,11808,11937
421480,Rio do Sul (SC),65256,66251,67237,68217,69188,70100,71061,72006,72931
421490,Rio Fortuna (SC),4557,4569,4582,4594,4606,4601,4611,4620,4630
421500,Rio Negrinho (SC),41167,41386,41602,41817,42029,42106,42302,42495,42684
421505,Rio Rufino (SC),2482,2484,2485,2487,2489,2482,2483,2483,2484
421507,Riqueza (SC),4810,4775,4740,4705,4670,4636,4598,4561,4525
421510,Rodeio (SC),11270,11325,11380,11434,11488,11502,11551,11600,11647
